scenario,context_tokens,quality_family,budget_left,budget_right,state_left,state_right,relative_width,transition_type
fixed_Q2_policy,131072,logarithmic,1.157462901456947e+23,1.1575442384462097e+23,recipe=172;active=D_max;budget,recipe=172;active=N_max;D_max,7.027178941143575e-05,active_set
observed_joint,2048,exponential,3.769853408359862e+19,3.770118322704686e+19,recipe=172;active=D_min;budget,recipe=172;active=budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,2048,exponential,1.958809436271801e+22,1.9589470853160036e+22,recipe=172;active=budget,recipe=172;active=D_max;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,2048,exponential,2.3108381632157417e+22,2.311000549948511e+22,recipe=172;active=D_max;budget,recipe=172;active=N_max;D_max,7.027178941143575e-05,recipe_or_active_set
observed_joint,2048,power,1.57793678140111e+19,1.5780476658423171e+19,recipe=477;active=D_min;budget,recipe=172;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,2048,power,4.8277674011615126e+19,4.828106657015654e+19,recipe=172;active=D_min;budget,recipe=172;active=budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,2048,power,2.008852260403022e+22,2.0089934260460235e+22,recipe=172;active=budget,recipe=172;active=D_max;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,2048,power,2.3210908453433795e+22,2.321253952550468e+22,recipe=172;active=D_max;budget,recipe=172;active=N_max;D_max,7.027178941143575e-05,recipe_or_active_set
observed_joint,2048,logarithmic,1.0304596860726637e+19,1.0305320983187204e+19,recipe=477;active=D_min;budget,recipe=172;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,2048,logarithmic,4.2225989364887765e+19,4.222895666072011e+19,recipe=172;active=D_min;budget,recipe=172;active=budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,2048,logarithmic,1.9795652626449917e+22,1.9797043702382547e+22,recipe=172;active=budget,recipe=172;active=D_max;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,2048,logarithmic,2.315063928995536e+22,2.3152266126804287e+22,recipe=172;active=D_max;budget,recipe=172;active=N_max;D_max,7.027178941143575e-05,recipe_or_active_set
observed_joint,8192,exponential,4.262247570384959e+19,4.262547086148645e+19,recipe=172;active=D_min;budget,recipe=172;active=budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,8192,exponential,2.3241918430325984e+22,2.3243551681523434e+22,recipe=172;active=budget,recipe=172;active=D_max;budget,7.02717894112137e-05,recipe_or_active_set
observed_joint,8192,exponential,2.7517293299652167e+22,2.7519226989092094e+22,recipe=172;active=D_max;budget,recipe=172;active=N_max;D_max,7.027178941143575e-05,recipe_or_active_set
observed_joint,8192,power,1.6105351762871962e+19,1.6106483514759438e+19,recipe=477;active=D_min;budget,recipe=172;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,8192,power,5.352370181916228e+19,5.352746302546504e+19,recipe=172;active=D_min;budget,recipe=172;active=budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,8192,power,2.3743750301103574e+22,2.374541881692457e+22,recipe=172;active=budget,recipe=172;active=D_max;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,8192,power,2.7619966311755e+22,2.7621907216211213e+22,recipe=172;active=D_max;budget,recipe=172;active=N_max;D_max,7.027178941143575e-05,recipe_or_active_set
observed_joint,8192,logarithmic,1.0499018032503867e+19,1.0499755817288073e+19,recipe=477;active=D_min;budget,recipe=172;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,8192,logarithmic,4.7280560589723386e+19,4.72838830793204e+19,recipe=172;active=D_min;budget,recipe=172;active=budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,8192,logarithmic,2.345026231365029e+22,2.3451910205545237e+22,recipe=172;active=budget,recipe=172;active=D_max;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,8192,logarithmic,2.7559865871202345e+22,2.7561802552293055e+22,recipe=172;active=D_max;budget,recipe=172;active=N_max;D_max,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,exponential,2.274270096444592e+19,2.2744299134738743e+19,infeasible_within_v8_support,recipe=159;active=D_min;budget,7.027178941143575e-05,feasibility_onset
observed_joint,131072,exponential,2.3009541192999797e+19,2.3011158114632966e+19,recipe=159;active=D_min;budget,recipe=459;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,exponential,2.324681852824086e+19,2.3248452123776963e+19,recipe=459;active=D_min;budget,recipe=368;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,exponential,2.4159456399432917e+19,2.416115412766531e+19,recipe=368;active=D_min;budget,recipe=437;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,exponential,2.4364037965757956e+19,2.4365750070303097e+19,recipe=437;active=D_min;budget,recipe=477;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,exponential,2.633123271655059e+19,2.6333083059390992e+19,recipe=477;active=D_min;budget,recipe=172;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,exponential,1.3760726318214806e+20,1.3761693309076788e+20,recipe=172;active=D_min;budget,recipe=172;active=budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,exponential,9.629684546535483e+22,9.630361241700036e+22,recipe=172;active=budget,recipe=172;active=D_max;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,exponential,1.1570563022320142e+23,1.1571376106488218e+23,recipe=172;active=D_max;budget,recipe=172;active=N_max;D_max,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,power,2.276348594040042e+19,2.2765085571290694e+19,infeasible_within_v8_support,recipe=159;active=D_min;budget,7.027178941143575e-05,feasibility_onset
observed_joint,131072,power,2.33155284725104e+19,2.3317166896417235e+19,recipe=159;active=D_min;budget,recipe=459;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,power,2.380556353876692e+19,2.3807236398314738e+19,recipe=459;active=D_min;budget,recipe=368;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,power,2.565184767528399e+19,2.565365027652184e+19,recipe=368;active=D_min;budget,recipe=437;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,power,2.60569795582004e+19,2.6058810628780614e+19,recipe=437;active=D_min;budget,recipe=477;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,power,2.9755810027571368e+19,2.9757901021587395e+19,recipe=477;active=D_min;budget,recipe=172;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,power,1.507803428743281e+20,1.5079093847882996e+20,recipe=172;active=D_min;budget,recipe=172;active=budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,power,9.680568868214278e+22,9.681249139111169e+22,recipe=172;active=budget,recipe=172;active=D_max;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,power,1.1580323804254563e+23,1.1581137574330252e+23,recipe=172;active=D_max;budget,recipe=172;active=N_max;D_max,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,logarithmic,2.2776286135414907e+19,2.2777886665797788e+19,infeasible_within_v8_support,recipe=159;active=D_min;budget,7.027178941143575e-05,feasibility_onset
observed_joint,131072,logarithmic,2.344861453754752e+19,2.3450262313650295e+19,recipe=159;active=D_min;budget,recipe=459;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,logarithmic,2.397006377111089e+19,2.3971748190384394e+19,recipe=459;active=D_min;budget,recipe=368;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,logarithmic,2.551521994727254e+19,2.5517012947435463e+19,recipe=368;active=D_min;budget,recipe=437;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,logarithmic,2.5792831645977567e+19,2.579464415441132e+19,recipe=437;active=D_min;budget,recipe=477;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,logarithmic,2.7748359003262812e+19,2.77503089301032e+19,recipe=477;active=D_min;budget,recipe=172;active=D_min;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,logarithmic,1.4315029137028492e+20,1.4316035079741429e+20,recipe=172;active=D_min;budget,recipe=172;active=budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,logarithmic,9.650684223614268e+22,9.651362394463706e+22,recipe=172;active=budget,recipe=172;active=D_max;budget,7.027178941143575e-05,recipe_or_active_set
observed_joint,131072,logarithmic,1.157462901456947e+23,1.1575442384462097e+23,recipe=172;active=D_max;budget,recipe=172;active=N_max;D_max,7.027178941143575e-05,recipe_or_active_set
