filter,type,origin,target_date,horizon_months,scenario,status,frontier_definition,observed_anchor_score,predicted_score,conditional_parameter_p05,conditional_parameter_p95,scenario_lower,scenario_upper,constant_baseline,monthly_trend_scenario,gC_log10_per_year,eta_assumed,drift_retention_assumed,N_anchor_B,N_future_B,D_anchor_B_scenario,D_future_B_scenario,C_anchor_FLOPs_scenario,C_future_FLOPs_scenario,N_extrapolation_log10_beyond_C2,D_extrapolation_log10_beyond_C4,time_extrapolation_observed_spans,bootstrap_draws,scale_points,non_scale_points,total_model_points,signed_scale_share,signed_non_scale_share,absolute_scale_share,absolute_non_scale_share
base_chat_domain_latest,non_pretrained,2025-03-13,2026-03-13,12,historical_growth,conditional_scenario_not_empirical_forecast,recent_2_month_type_score_q90_local_translation,40.40850783845882,57.97327575476424,53.116983785499656,60.74827324079472,40.40850783845882,72.10304542837443,40.40850783845882,60.73146503339198,0.6903147486034148,0.5,0.5,14.766000000000002,32.6904002818549,6500.0,14390.329258570824,5.758740000000001e+23,2.8225537419022105e+24,0,0.0,1.318592057761733,200,9.002213037072927,8.562554879232486,17.564767916305414,0.5125153420738428,0.48748465792615725,0.5125153420738428,0.48748465792615725
base_chat_domain_latest,non_pretrained,2025-03-13,2026-03-13,12,half_growth,conditional_scenario_not_empirical_forecast,recent_2_month_type_score_q90_local_translation,40.40850783845882,53.487860385348014,48.879991841275356,56.251993459303876,40.40850783845882,65.95852954275078,40.40850783845882,60.73146503339198,0.3451573743017074,0.5,0.5,14.766000000000002,21.970581479830468,6500.0,9671.460085256536,5.758740000000001e+23,1.2749256109923412e+24,0,0.0,1.318592057761733,200,4.494440120664596,8.584912426224594,13.07935254688919,0.34362863945689415,0.6563713605431059,0.34362863945689415,0.6563713605431059
base_chat_domain_latest,non_pretrained,2025-03-13,2026-03-13,12,quarter_growth,conditional_scenario_not_empirical_forecast,recent_2_month_type_score_q90_local_translation,40.40850783845882,51.21910443194382,46.74330075534488,53.980551121909286,40.40850783845882,63.197283513044134,40.40850783845882,60.73146503339198,0.1725786871508537,0.5,0.5,14.766000000000002,18.011596434829887,6500.0,7928.713045265762,5.758740000000001e+23,8.56852677713388e+23,0,0.0,1.318592057761733,200,2.241017953528413,8.569578639956582,10.810596593484995,0.20729826833784198,0.792701731662158,0.20729826833784198,0.792701731662158
base_chat_domain_latest,non_pretrained,2025-03-13,2026-03-13,12,no_growth,conditional_scenario_not_empirical_forecast,recent_2_month_type_score_q90_local_translation,40.40850783845882,48.94531431508656,44.650453638086326,51.66582826209895,39.329462240125906,60.81539239215437,40.40850783845882,60.73146503339198,0.0,0.5,0.5,14.766000000000002,14.766000000000002,6500.0,6500.0,5.758740000000001e+23,5.758740000000001e+23,0,0.0,1.318592057761733,200,0.0,8.536806476627739,8.536806476627739,0.0,1.0,0.0,1.0
base_chat_domain_latest,non_pretrained,2025-03-13,2027-03-13,24,historical_growth,conditional_scenario_not_empirical_forecast,recent_2_month_type_score_q90_local_translation,40.40850783845882,73.72696210813075,66.93114535586696,77.79840331462938,40.40850783845882,90.7779909306697,40.40850783845882,76.98236088492155,0.6903147486034148,0.5,0.5,14.766000000000002,72.37317286928746,6500.0,31858.704026166084,5.758740000000001e+23,1.3834292963263094e+25,0,0.24795560014296428,2.637184115523466,200,17.087817161956913,16.230637107715012,33.318454269671925,0.5128634426931106,0.48713655730688943,0.5128634426931106,0.48713655730688943
base_chat_domain_latest,non_pretrained,2025-03-13,2027-03-13,24,half_growth,conditional_scenario_not_empirical_forecast,recent_2_month_type_score_q90_local_translation,40.40850783845882,66.10451454162751,58.838148861311346,70.76973979408598,40.40850783845882,84.66873400100296,40.40850783845882,76.98236088492155,0.3451573743017074,0.5,0.5,14.766000000000002,32.6904002818549,6500.0,14390.329258570824,5.758740000000001e+23,2.8225537419022105e+24,0,0.0,2.637184115523466,200,8.768447288028156,16.92755941514053,25.696006703168685,0.3412377413081419,0.6587622586918581,0.3412377413081419,0.6587622586918581
base_chat_domain_latest,non_pretrained,2025-03-13,2027-03-13,24,quarter_growth,conditional_scenario_not_empirical_forecast,recent_2_month_type_score_q90_local_translation,40.40850783845882,61.91684342420398,54.57173741295001,66.85637853623957,40.40850783845882,81.20888362316367,40.40850783845882,76.98236088492155,0.1725786871508537,0.5,0.5,14.766000000000002,21.970581479830468,6500.0,9671.460085256536,5.758740000000001e+23,1.2749256109923412e+24,0,0.0,2.637184115523466,200,4.409546497616173,17.098789088128985,21.508335585745158,0.2050157010075033,0.7949842989924967,0.2050157010075033,0.7949842989924967
base_chat_domain_latest,non_pretrained,2025-03-13,2027-03-13,24,no_growth,conditional_scenario_not_empirical_forecast,recent_2_month_type_score_q90_local_translation,40.40850783845882,57.544084600039376,50.255563778253546,62.59238623680883,39.37103581746277,78.15787837554765,40.40850783845882,76.98236088492155,0.0,0.5,0.5,14.766000000000002,14.766000000000002,6500.0,6500.0,5.758740000000001e+23,5.758740000000001e+23,0,0.0,2.637184115523466,200,0.0,17.135576761580552,17.135576761580552,0.0,1.0,0.0,1.0
base_chat_domain_latest,pretrained,2025-03-13,2026-03-13,12,historical_growth,conditional_scenario_not_empirical_forecast,recent_2_month_type_score_q90_local_translation,21.76298915231794,32.686975322960336,12.15860858726776,41.26530294376837,6.570327048333245,48.92841560302763,21.76298915231794,6.570327048333245,0.6903147486034148,0.5,0.5,9.242,20.460834308878702,6500.0,14390.329258570824,3.60438e+23,1.7666288556589617e+24,0,0.0,1.333029197080292,200,4.82680628139957,6.097179889242831,10.9239861706424,0.4418539355506821,0.5581460644493179,0.4418539355506821,0.5581460644493179
base_chat_domain_latest,pretrained,2025-03-13,2026-03-13,12,half_growth,conditional_scenario_not_empirical_forecast,recent_2_month_type_score_q90_local_translation,21.76298915231794,30.037666562232165,11.014330180874063,38.20477991458509,6.570327048333245,45.39066065029895,21.76298915231794,6.570327048333245,0.3451573743017074,0.5,0.5,9.242,13.751328324298603,6500.0,9671.460085256536,3.60438e+23,7.979725380462695e+23,0,0.0,1.333029197080292,200,2.3457457259474026,5.928931683966827,8.27467740991423,0.28348485502732335,0.7165151449726767,0.28348485502732335,0.7165151449726767
